Loading real dataset from C:\Users\salah\Documents\MASTER\PFE2\training\..\data\household_power_consumption.txt...
Resampling to hourly frequency...
Fitting pipeline on train data (strategy: interpolate)...
Warning: 62 NaNs detected. Strategy: interpolate
Total trainable parameters: 1194522
Starting training loop...
Epoch 1 | Train Loss: 0.3714 | Val Loss: 0.4992
Epoch 2 | Train Loss: 0.3676 | Val Loss: 0.5087
Epoch 3 | Train Loss: 0.3661 | Val Loss: 0.5014
Epoch 4 | Train Loss: 0.3665 | Val Loss: 0.5017
Epoch 5 | Train Loss: 0.3669 | Val Loss: 0.4984
Epoch 6 | Train Loss: 0.3669 | Val Loss: 0.5005
Epoch 7 | Train Loss: 0.3666 | Val Loss: 0.4985
Epoch 8 | Train Loss: 0.3671 | Val Loss: 0.5001
Epoch 9 | Train Loss: 0.3666 | Val Loss: 0.4987
Epoch 10 | Train Loss: 0.3658 | Val Loss: 0.4979
Epoch 11 | Train Loss: 0.3667 | Val Loss: 0.4981
Epoch 12 | Train Loss: 0.3664 | Val Loss: 0.4967
Epoch 13 | Train Loss: 0.3667 | Val Loss: 0.4981
Epoch 14 | Train Loss: 0.3664 | Val Loss: 0.4979
Epoch 15 | Train Loss: 0.3664 | Val Loss: 0.4983
Epoch 16 | Train Loss: 0.3655 | Val Loss: 0.4989
Epoch 17 | Train Loss: 0.3631 | Val Loss: 0.4944
Epoch 18 | Train Loss: 0.3595 | Val Loss: 0.4829
Epoch 19 | Train Loss: 0.3561 | Val Loss: 0.4776
Epoch 20 | Train Loss: 0.3533 | Val Loss: 0.4690
Epoch 21 | Train Loss: 0.3505 | Val Loss: 0.4707
Epoch 22 | Train Loss: 0.3488 | Val Loss: 0.4504
Epoch 23 | Train Loss: 0.3352 | Val Loss: 0.4489
Epoch 24 | Train Loss: 0.3205 | Val Loss: 0.4309
Epoch 25 | Train Loss: 0.3148 | Val Loss: 0.4168
Epoch 26 | Train Loss: 0.3169 | Val Loss: 0.3870
Epoch 27 | Train Loss: 0.3152 | Val Loss: 0.3889
Epoch 28 | Train Loss: 0.3088 | Val Loss: 0.3857
Epoch 29 | Train Loss: 0.3088 | Val Loss: 0.4143
Epoch 30 | Train Loss: 0.3107 | Val Loss: 0.4108
Epoch 31 | Train Loss: 0.3109 | Val Loss: 0.3820
Epoch 32 | Train Loss: 0.3069 | Val Loss: 0.4011
Epoch 33 | Train Loss: 0.3079 | Val Loss: 0.3827
Epoch 34 | Train Loss: 0.3123 | Val Loss: 0.3910
Epoch 35 | Train Loss: 0.3077 | Val Loss: 0.3905
Epoch 36 | Train Loss: 0.3064 | Val Loss: 0.3799
Epoch 37 | Train Loss: 0.3046 | Val Loss: 0.3858
Epoch 38 | Train Loss: 0.3041 | Val Loss: 0.3839
Epoch 39 | Train Loss: 0.3037 | Val Loss: 0.3787
Epoch 40 | Train Loss: 0.3038 | Val Loss: 0.3806
Epoch 41 | Train Loss: 0.3017 | Val Loss: 0.3899
Epoch 42 | Train Loss: 0.3045 | Val Loss: 0.3737
Epoch 43 | Train Loss: 0.3023 | Val Loss: 0.4121
Epoch 44 | Train Loss: 0.3037 | Val Loss: 0.4094
Epoch 45 | Train Loss: 0.3024 | Val Loss: 0.4347
Epoch 46 | Train Loss: 0.3046 | Val Loss: 0.3752
Epoch 47 | Train Loss: 0.3005 | Val Loss: 0.3806
Epoch 48 | Train Loss: 0.3005 | Val Loss: 0.4052
Epoch 49 | Train Loss: 0.3006 | Val Loss: 0.3733
Epoch 50 | Train Loss: 0.2990 | Val Loss: 0.3767
Epoch 51 | Train Loss: 0.3001 | Val Loss: 0.3863
Epoch 52 | Train Loss: 0.2991 | Val Loss: 0.3844
Epoch 53 | Train Loss: 0.2987 | Val Loss: 0.3822
Epoch 54 | Train Loss: 0.2990 | Val Loss: 0.3713
Epoch 55 | Train Loss: 0.2973 | Val Loss: 0.3733
Epoch 56 | Train Loss: 0.2973 | Val Loss: 0.3787
Epoch 57 | Train Loss: 0.2973 | Val Loss: 0.3742
Epoch 58 | Train Loss: 0.2978 | Val Loss: 0.3722
Epoch 59 | Train Loss: 0.2958 | Val Loss: 0.3738
Epoch 60 | Train Loss: 0.2963 | Val Loss: 0.3724
Epoch 61 | Train Loss: 0.2962 | Val Loss: 0.3700
Epoch 62 | Train Loss: 0.2979 | Val Loss: 0.3708
Epoch 63 | Train Loss: 0.2972 | Val Loss: 0.3713
Epoch 64 | Train Loss: 0.2963 | Val Loss: 0.3734
Epoch 65 | Train Loss: 0.2965 | Val Loss: 0.3736
Epoch 66 | Train Loss: 0.2954 | Val Loss: 0.3708
Epoch 67 | Train Loss: 0.2954 | Val Loss: 0.3708
Epoch 68 | Train Loss: 0.2952 | Val Loss: 0.3711
Epoch 69 | Train Loss: 0.2961 | Val Loss: 0.3728
Epoch 70 | Train Loss: 0.2954 | Val Loss: 0.3707
Epoch 71 | Train Loss: 0.2952 | Val Loss: 0.3717
Early stopping triggered at epoch 71.

--- Running Serialization Verification ---
Pipeline save/load verification: PASSED
Model save/load verification: PASSED

Training completed successfully!
