Model,Accuracy,Precision,Recall,F1-Score,AUC,Time
DNN,0.8953176260065613,0.9172175007869059,0.8690724724127646,0.8924961715160796,0.9598803533948391,73.2s
LSTM,0.8903966597077244,0.9314436387607119,0.8428273188189681,0.8849224988257398,0.9535782130286663,73.0s
BiLSTM,0.8884580972263645,0.9384045775833053,0.831494184312556,0.8817204301075269,0.9532121058377109,133.5s
GRU,0.8874142558902476,0.9275839368005266,0.8404413957649866,0.8818651228289782,0.9506377478750706,69.5s
BiGRU,0.886966895317626,0.9280765423952491,0.8389501938562481,0.881265664160401,0.9491358278136329,94.0s
DEPM-DNN,0.8959141067700567,0.9314267143321417,0.8547569340888757,0.8914463452566096,0.9582792570656863,20.8s
DEPM-LSTM,0.8923352221890845,0.9204218600191755,0.8589322994333433,0.888614625115705,0.9558344508823531,16.3s
DEPM-BiLSTM,0.893677303906949,0.925531914893617,0.8562481359976141,0.8895429899302866,0.9552213369690257,16.2s
DEPM-GRU,0.8902475395168505,0.9165870741801974,0.8586340590515956,0.8866646134893748,0.9512363633743732,16.7s
DEPM-BiGRU,0.8851774530271399,0.9093502377179081,0.8556516552341187,0.8816840811309158,0.949662218084788,16.9s
