hour_utc,observations,mae_kwh,seasonal_naive_mae_kwh,central_80_coverage_percent,central_80_width_kwh
0,11871,0.12935826830210637,0.17221430416306452,80.53238985763626,0.3596635639972416
1,11871,0.09390451175588724,0.1261553360954708,82.36037402072277,0.26505860057264974
2,11871,0.07451153075884297,0.10066877228141632,82.58781905483953,0.21429866264756017
3,11871,0.06415743266650092,0.08898668989301864,82.94162244124337,0.19253202662958815
4,11871,0.0638660045137517,0.08638631995484256,82.62151461544941,0.19118581119897887
5,11871,0.06987608925544371,0.09463474005394838,83.18591525566507,0.21404812176159696
6,11871,0.09276693430677634,0.12550450674438302,83.11852413444528,0.2935391014438332
7,11871,0.14022643304782798,0.18478687562713486,82.04026619492882,0.4477193368932031
8,11871,0.18921465599306364,0.2531119540866879,81.19787717968158,0.5879571081124753
9,11871,0.2157156607094317,0.2951733637470904,80.95358436525987,0.6659713685572122
10,11871,0.22859978800272102,0.3104080536364653,80.25440148260466,0.6995972542102732
11,11871,0.23137086239223192,0.31733990338796786,80.41445539550163,0.7176364693624081
12,11871,0.2355063152875829,0.32075511752163344,80.40603150534918,0.7129736164062377
13,11871,0.2408548598495088,0.32509763229008515,79.54679470979698,0.7000414415839519
14,11871,0.23213598434305593,0.31450669699610034,79.55521859994946,0.6756531642001266
15,11871,0.2281095059974341,0.3064160555964831,80.07749978940275,0.682409846343356
16,11871,0.2503626893702575,0.3345204281686425,79.68157695223654,0.7370703212474001
17,11871,0.286866641663398,0.38393926376648657,79.54679470979698,0.8508598590017573
18,11871,0.2927892189645285,0.3977541064915183,79.58891416055934,0.9042965991970628
19,11871,0.27714918785965614,0.37735641430864536,79.44570802796731,0.8592732578294353
20,11871,0.24432017213860807,0.338502990963607,78.97397017942886,0.7584651224702359
21,11871,0.2134175454932198,0.2972445455634562,79.64788139162665,0.6584275419264799
22,11871,0.18508513265701548,0.26118928434020844,80.58293319855109,0.5700314263371835
23,11871,0.16311490273473958,0.22328220035110546,79.850054755286,0.47576223466071416
