profile,household_index,origin_index,timestamp_utc,horizon_step,actual_kwh,q10_kwh,median_kwh,q90_kwh,seasonal_naive_kwh
p10,865,7909,2013-11-26T13:00:00,1,0.3610000014305115,0.06867201626300812,0.17883092164993286,0.30916494131088257,0.26899999380111694
p10,865,7909,2013-11-26T14:00:00,2,0.18700000643730164,0.049370087683200836,0.15642687678337097,0.2954697608947754,0.23000000417232513
p10,865,7909,2013-11-26T15:00:00,3,0.03500000014901161,0.03498554974794388,0.12845630943775177,0.27184784412384033,0.164000004529953
p10,865,7909,2013-11-26T16:00:00,4,0.0560000017285347,0.030481763184070587,0.11895614117383957,0.2889438569545746,0.0860000029206276
p10,865,7909,2013-11-26T17:00:00,5,0.014999999664723873,0.03705361485481262,0.16072386503219604,0.4093511700630188,0.6660000085830688
p10,865,7909,2013-11-26T18:00:00,6,0.05900000035762787,0.04151143878698349,0.18705721199512482,0.38214462995529175,0.34599998593330383
p10,865,7909,2013-11-26T19:00:00,7,0.014999999664723873,0.04344163089990616,0.164055734872818,0.2973080277442932,0.19699999690055847
p10,865,7909,2013-11-26T20:00:00,8,0.06599999964237213,0.05805595591664314,0.19073377549648285,0.2982271611690521,0.23199999332427979
p10,865,7909,2013-11-26T21:00:00,9,0.05000000074505806,0.07211878895759583,0.21012762188911438,0.29813525080680847,0.2540000081062317
p10,865,7909,2013-11-26T22:00:00,10,0.0729999989271164,0.06710948050022125,0.19385884702205658,0.2766273617744446,0.24400000274181366
p10,865,7909,2013-11-26T23:00:00,11,0.014999999664723873,0.05548236519098282,0.15187713503837585,0.2352660894393921,0.15600000321865082
p10,865,7909,2013-11-27T00:00:00,12,0.06400000303983688,0.025380536913871765,0.06508737802505493,0.16775527596473694,0.06499999761581421
p10,865,7909,2013-11-27T01:00:00,13,0.014999999664723873,0.014948301017284393,0.043763332068920135,0.11859117448329926,0.05000000074505806
p10,865,7909,2013-11-27T02:00:00,14,0.06800000369548798,0.012650452554225922,0.0429820641875267,0.10072701424360275,0.02199999988079071
p10,865,7909,2013-11-27T03:00:00,15,0.017000000923871994,0.011547483503818512,0.04371737688779831,0.09109902381896973,0.05900000035762787
p10,865,7909,2013-11-27T04:00:00,16,0.04899999871850014,0.010628342628479004,0.0399029478430748,0.08043700456619263,0.01600000075995922
p10,865,7909,2013-11-27T05:00:00,17,0.032999999821186066,0.011271744966506958,0.04017868638038635,0.07788639515638351,0.06199999898672104
p10,865,7909,2013-11-27T06:00:00,18,0.02800000086426735,0.012282796204090118,0.04422289878129959,0.10428868234157562,0.02199999988079071
p10,865,7909,2013-11-27T07:00:00,19,0.054999999701976776,0.015132129192352295,0.04463651776313782,0.11552229523658752,0.05700000002980232
p10,865,7909,2013-11-27T08:00:00,20,0.014999999664723873,0.023036733269691467,0.054701097309589386,0.17069652676582336,0.01899999938905239
p10,865,7909,2013-11-27T09:00:00,21,0.06800000369548798,0.0558040589094162,0.16674423217773438,0.2905983030796051,0.2759999930858612
p10,865,7909,2013-11-27T10:00:00,22,0.014999999664723873,0.08209145814180374,0.19758136570453644,0.29353955388069153,0.1420000046491623
p10,865,7909,2013-11-27T11:00:00,23,0.07599999755620956,0.09119094163179398,0.19886815547943115,0.3046611547470093,0.2750000059604645
p10,865,7909,2013-11-27T12:00:00,24,0.2919999957084656,0.07793235033750534,0.19349119067192078,0.30806195735931396,0.19900000095367432
median,1553,7909,2013-11-26T13:00:00,1,0.3089999854564667,0.10364980250597,0.3238426446914673,1.0724982023239136,0.26600000262260437
median,1553,7909,2013-11-26T14:00:00,2,0.27399998903274536,0.09568026661872864,0.2597084641456604,0.918603777885437,0.17399999499320984
median,1553,7909,2013-11-26T15:00:00,3,0.15299999713897705,0.11010787636041641,0.23849643766880035,0.7702053785324097,0.289000004529953
median,1553,7909,2013-11-26T16:00:00,4,0.13199999928474426,0.13868829607963562,0.270529180765152,0.6932581663131714,0.12999999523162842
median,1553,7909,2013-11-26T17:00:00,5,0.1459999978542328,0.22729787230491638,0.3677437901496887,0.6987544298171997,0.26499998569488525
median,1553,7909,2013-11-26T18:00:00,6,0.753000020980835,0.29299503564834595,0.4580194056034088,0.7317317724227905,0.492000013589859
median,1553,7909,2013-11-26T19:00:00,7,0.4309999942779541,0.23011468350887299,0.44098109006881714,0.7839460372924805,0.4650000035762787
median,1553,7909,2013-11-26T20:00:00,8,0.8550000190734863,0.18003027141094208,0.4481261968612671,0.7987858057022095,0.4830000102519989
median,1553,7909,2013-11-26T21:00:00,9,0.8220000267028809,0.1621846854686737,0.4389200210571289,0.7004032731056213,0.5149999856948853
median,1553,7909,2013-11-26T22:00:00,10,0.3400000035762787,0.12398586422204971,0.3703545033931732,0.6000970602035522,0.5440000295639038
median,1553,7909,2013-11-26T23:00:00,11,0.11699999868869781,0.08544353395700455,0.17647488415241241,0.33861374855041504,0.24699999392032623
median,1553,7909,2013-11-27T00:00:00,12,0.10599999874830246,0.07637475430965424,0.09877189993858337,0.15136396884918213,0.0989999994635582
median,1553,7909,2013-11-27T01:00:00,13,0.10499999672174454,0.07225257158279419,0.08764202892780304,0.11917666345834732,0.09799999743700027
median,1553,7909,2013-11-27T02:00:00,14,0.09700000286102295,0.06971056759357452,0.08406947553157806,0.11038269102573395,0.07699999958276749
median,1553,7909,2013-11-27T03:00:00,15,0.09200000017881393,0.06819909811019897,0.08351985365152359,0.10701625049114227,0.09700000286102295
median,1553,7909,2013-11-27T04:00:00,16,0.07000000029802322,0.06689375638961792,0.0839320719242096,0.10777197778224945,0.07500000298023224
median,1553,7909,2013-11-27T05:00:00,17,0.0729999989271164,0.06297768652439117,0.08187098056077957,0.11134453117847443,0.09300000220537186
