household_index,evaluation_windows,forecast_points,mae_kwh,rmse_kwh,bias_kwh,r2,seasonal_naive_mae_kwh,beats_seasonal_naive
16,24,576,0.15172531603214642,0.23012971716685707,-0.041249064444046885,0.13049560810686156,0.213670139045765,1
17,24,576,0.11151477527002701,0.209157402592822,-0.04172808381392517,0.1787934363543796,0.14978298702044412,1
21,24,576,0.1559481797222462,0.31596237101655916,-0.07458908281599481,0.3317680580276927,0.22069270888136494,1
26,24,576,0.08019658663478266,0.19938508506761982,-0.030267167270519875,0.3022577764316896,0.12488541624366513,1
27,24,576,0.021536588366466783,0.07333434161231067,-0.013969957801034778,0.05031609502885459,0.0280850697130922,1
31,24,576,0.11163366466967596,0.23052386646943138,-0.06901170390968521,0.179184937397313,0.1382048609149125,1
34,24,576,0.1093761966460281,0.2564904798410732,-0.06100457228927149,0.41053671470399833,0.16894791704625176,1
37,24,576,0.02044696267694235,0.040272441114645244,-0.008842083418534862,0.3382787041415177,0.027571180240354605,1
42,24,576,0.1188193667654155,0.1928124305282467,-0.014169601193215284,0.4171718709147324,0.16233680372372167,1
56,24,576,0.0828271479695104,0.1805455087042131,-0.03002354747796845,0.31013020390853097,0.11435763908472533,1
58,24,576,0.11608060060017225,0.24425545952563776,-0.029788188610432878,0.16215514898580974,0.16788715303280494,1
59,24,576,0.03864566078280202,0.04878370169033627,-0.0012413481470300919,0.5997720932721525,0.048473958812084876,1
74,20,480,2.7931992429770734e-07,1.4463836846914522e-06,2.7931992429770734e-07,,4.791666675979892e-05,1
82,24,576,0.10978784627190584,0.19185780263428245,-0.04136319217569609,0.18206748190266175,0.16388715292042536,1
83,21,504,0.12238144873833609,0.18516152621585003,-0.032999180471672426,0.35407787198149243,0.17287103148798147,1
90,24,576,0.4455653470682187,0.6538074099191666,-0.08684639800857338,0.5282337886890329,0.594906248837813,1
94,24,576,0.2713381872098479,0.4437457289615801,-0.08527034979003172,0.2751053084393972,0.3452291650723459,1
96,24,576,0.09724704280314553,0.2126364113556821,-0.04615288007254195,0.09457226799308693,0.12872048561823451,1
101,24,576,0.2573585582431406,0.3532400461609414,-0.07863859431300727,0.576102276257437,0.3326927067246288,1
106,24,576,0.32810888235043323,0.5178422481824235,-0.12666724392005968,0.4343661769434103,0.4032552083695514,1
108,24,576,0.3699852738581184,0.6512237898016988,-0.10628678114153445,0.19192920109320855,0.4469774303336938,1
109,24,576,0.2016101526743215,0.3655177701359178,-0.11522867216262966,0.16155916789786584,0.2628038184872518,1
112,24,576,0.2207049581532677,0.3227637051729601,-0.030347688020103507,0.473075586460616,0.28191145685397917,1
114,24,576,0.4050933121600085,0.7091619470453935,-0.13624615056647194,0.2796756783661437,0.48135069687850773,1
117,24,576,0.11642983009288502,0.3222765649338836,-0.04510230979131949,0.4081514676000889,0.18538368094272706,1
134,24,576,0.15755520784296095,0.28940071926916383,-0.05356823505523304,0.38432873063160855,0.20759895658637914,1
141,24,576,0.13310366404281618,0.2795217566155012,-0.046682002026096195,0.3399642107013967,0.20399826328179593,1
144,24,576,0.1270907611728439,0.24904548305952207,-0.06690478483344325,0.3371460136926253,0.18178992993327686,1
146,24,576,0.05994637630000296,0.18017735805598015,-0.037023746874183416,0.1349638245447401,0.11819617982837372,1
151,24,576,0.08321776503321922,0.16802994841854754,-0.04340731367119588,0.09931709651147724,0.1512361113661124,1
157,24,576,0.3071410203507791,0.5936613914915114,-0.07957860623072419,0.3351699008370884,0.5543541693542566,1
162,24,576,0.6236858441548571,0.95883164690834,-0.12309806911313596,0.3843853168063397,0.9124531203336422,1
163,24,576,0.10138539369735453,0.14954363886819635,-0.006133223676847087,0.35295654871960525,0.14032118007566574,1
167,24,576,0.2360618815679724,0.45884106662452934,-0.0648810385998028,0.19337495469497612,0.3326822917846989,1
174,24,576,0.42096692421990967,0.6298199125262812,-0.1115113222040236,0.4577113899640243,0.5824097269732091,1
179,24,576,0.09315130238731702,0.1804545125683258,-0.034189308838297926,0.2619758027611804,0.14779340266250074,1
186,24,576,0.0943211799280511,0.21118457344442357,-0.04487154180080526,0.28665973074271656,0.14172916596807125,1
192,24,576,0.13298484461847693,0.20775463662386065,-0.017856263076990016,0.431432281456787,0.17868749881421941,1
197,24,576,0.11679457642862366,0.23074263322137561,-0.052487488344518676,0.11370347730682617,0.16014409730754173,1
207,16,384,0.15771819344566515,0.28509970096601744,-0.07154320215340704,0.3025461093487606,0.21105468665094426,1
223,24,576,0.1285421271426862,0.27491745335660916,-0.03551451562735666,0.3107105754249747,0.19959722281136136,1
226,24,576,0.364645275959952,0.6445549183889839,-0.1515210532169375,0.1955332957851078,0.4709687512109263,1
240,24,576,0.3357765155120028,0.514018249583561,-0.07055433115197553,0.5052066534820377,0.5539374996183647,1
245,19,456,0.13154572716570997,0.2353183846227774,-0.0639288402816052,0.41059572376668196,0.1843333352324471,1
246,24,576,0.2079949689666844,0.3650992417593955,-0.05291185758283569,0.10120006922101343,0.2831562497368496,1
247,24,576,0.10953729064527175,0.22359328386570054,-0.03653030834458251,0.17088069651583415,0.15735243001512977,1
250,24,576,0.2347233108917458,0.4428995258120851,-0.07145371580392951,0.34102810886437374,0.3368715279114743,1
252,24,576,0.07613414179003383,0.14040266946496216,-0.03419105239380668,0.20756549393923662,0.10449305546676947,1
253,24,576,0.17307717393204156,0.3303989828887028,-0.07481618107865667,0.1467786638087939,0.25440451330764013,1
268,24,576,0.055504607871019594,0.09156066673177937,-0.007095827171320302,0.4101599842476672,0.07234548611773385,1
269,24,576,0.35182484585998786,0.632790878599413,-0.12312375034929977,0.31300721131108,0.4950590251117117,1
273,24,576,0.06326515778588752,0.11275321403654685,-0.016554968793772988,0.34440607734108486,0.0825277782148785,1
275,24,576,0.22333033476024866,0.5257373406107093,-0.09468021124808325,0.17991351229445574,0.2552829857320628,1
286,24,576,0.08754701079386804,0.13940069321160353,-0.02264032682352182,0.15000345551207117,0.1107256943683347,1
288,24,576,0.14972123917606142,0.21004778849512448,-0.02427177746883697,0.5333371625642729,0.20831423475303584,1
302,24,576,0.26656909737115103,0.4512500632033613,-0.14646341372281313,0.09008883285894265,0.3476475689482565,1
308,24,576,0.08736135502759781,0.23795583679941484,-0.040619070227775306,0.058663040607337624,0.09929340267424575,1
310,24,576,0.06369533980937882,0.08825404107665047,-0.023010899894870818,-0.07961790742645247,0.09400867992533474,1
