household_index,evaluation_windows,forecast_points,mae_kwh,rmse_kwh,bias_kwh,r2,seasonal_naive_mae_kwh,beats_seasonal_naive
16,24,4032,0.161820970538501,0.2355355237014704,-0.02213079646776711,0.043911117782918896,0.2077544643876276,1
17,24,4032,0.12464687670303863,0.251299179534948,-0.049321960305817245,0.07951636219619618,0.1604253481380597,1
21,24,4032,0.17328499571701128,0.3075350092632044,-0.04192235346676575,0.3444947354139489,0.22969816537344798,1
26,24,4032,0.08942565581200475,0.1841654310020762,-0.003591573072573362,0.2832089782505872,0.11757589253344729,1
27,24,4032,0.013271248235786704,0.05217940159374214,-0.005128320680962624,0.0017950369348940232,0.018323908948491046,1
31,24,4032,0.09497904969334957,0.19151923192520923,-0.045107793739242924,0.27753905974563686,0.12156746019831016,1
34,24,4032,0.13845320086416213,0.33789073122155133,-0.06818243684542794,0.23313401843785442,0.1931473211356899,1
37,24,4032,0.02214191421600325,0.04138291371552666,-0.007649620492306966,0.31584016008660576,0.02759399796126499,1
42,24,4032,0.11823828312261621,0.18632126823538459,-0.015616481136050193,0.4259306512017971,0.15070808539721406,1
56,24,4032,0.07773188848994554,0.16401300361753152,-0.03204490647592124,0.3423089142994383,0.09677405786674677,1
58,24,4032,0.1077754781359718,0.2114504739960036,-0.02396542854636671,0.19461368574224702,0.150244295709796,1
59,24,4032,0.038165354984350475,0.047989127168193535,0.0004233574168571818,0.6208114721650722,0.048361359600676224,1
74,20,3360,2.5081813822916886e-05,0.0006873398467789594,-1.5989587466344128e-05,-0.0011365764984605509,3.422619054271352e-05,1
82,24,4032,0.11918810634764783,0.19987467889109045,-0.03467670255035739,0.13660414824374179,0.1621011902203059,1
83,21,3528,0.13762095955658762,0.20146712441287373,-0.023736235232656302,0.20039847736589977,0.17641609980484002,1
90,24,4032,0.459510367448693,0.6659787990708651,-0.046701952567442306,0.4782575739035556,0.5469637878871124,1
94,24,4032,0.2789830541301016,0.4403532761706701,-0.08315663271591008,0.27078221636191857,0.33166046493819784,1
96,24,4032,0.09398449323646399,0.20979671590255167,-0.043583055949836434,0.11776979126203646,0.131841269719954,1
101,24,4032,0.27449020655781387,0.3874385534251371,-0.056415789586950156,0.47435360807787363,0.3546039188495054,1
106,24,4032,0.300062342295571,0.4774366063321537,-0.054693981325106014,0.5189731781300311,0.38030506141986403,1
108,24,4032,0.3702378066788827,0.6332764969385465,-0.11043957648207507,0.22393734235081042,0.4406949405277532,1
109,24,4032,0.19884910847204515,0.35663102744039216,-0.08847534149563649,0.1572950904248006,0.26975173460567253,1
112,24,4032,0.23783592977339313,0.32620588297018205,0.009936531562180747,0.39523190645877193,0.27286557522084975,1
114,24,4032,0.4065441533235744,0.7188185079099323,-0.14518892125315255,0.266048603389208,0.5205734138495274,1
117,24,4032,0.14571550262940397,0.3184455479524275,0.003694193506990338,0.3411603751104777,0.17724305562054118,1
