profile,household_index,origin_index,timestamp_utc,horizon_step,actual_kwh,q10_kwh,median_kwh,q90_kwh,seasonal_naive_kwh
p10,796,7834,2013-11-23T10:00:00,1,0.05999999865889549,0.026515066623687744,0.07409173250198364,0.23925991356372833,0.041999999433755875
p10,796,7834,2013-11-23T11:00:00,2,0.028999999165534973,0.024007648229599,0.09662635624408722,0.3112678527832031,0.004999999888241291
p10,796,7834,2013-11-23T12:00:00,3,0.14900000393390656,0.040016546845436096,0.17393843829631805,0.3583301603794098,0.039000000804662704
p10,796,7834,2013-11-23T13:00:00,4,0.1679999977350235,0.07119855284690857,0.22678712010383606,0.36154478788375854,0.33000001311302185
p10,796,7834,2013-11-23T14:00:00,5,0.335999995470047,0.08971487730741501,0.21810758113861084,0.3575586676597595,0.1850000023841858
p10,796,7834,2013-11-23T15:00:00,6,0.13099999725818634,0.12229524552822113,0.21624308824539185,0.3724745810031891,0.15399999916553497
p10,796,7834,2013-11-23T16:00:00,7,0.20800000429153442,0.16263897716999054,0.2753281593322754,0.4147792458534241,0.2160000056028366
p10,796,7834,2013-11-23T17:00:00,8,0.2849999964237213,0.23064467310905457,0.34637171030044556,0.45541226863861084,0.3799999952316284
p10,796,7834,2013-11-23T18:00:00,9,0.4009999930858612,0.2784785032272339,0.39279109239578247,0.5014458894729614,0.41999998688697815
p10,796,7834,2013-11-23T19:00:00,10,0.4350000023841858,0.2664557695388794,0.3791610300540924,0.5526229739189148,0.3269999921321869
p10,796,7834,2013-11-23T20:00:00,11,0.26600000262260437,0.24581778049468994,0.3517723083496094,0.5654815435409546,0.28200000524520874
p10,796,7834,2013-11-23T21:00:00,12,0.3409999907016754,0.2562974989414215,0.3997347354888916,0.5191907286643982,0.4580000042915344
p10,796,7834,2013-11-23T22:00:00,13,0.3580000102519989,0.12419188767671585,0.28580790758132935,0.4035922884941101,0.20999999344348907
p10,796,7834,2013-11-23T23:00:00,14,0.18199999630451202,0.014363721013069153,0.041173823177814484,0.20512044429779053,0.013000000268220901
p10,796,7834,2013-11-24T00:00:00,15,0.032999999821186066,0.010891914367675781,0.021114468574523926,0.05525393784046173,0.03500000014901161
p10,796,7834,2013-11-24T01:00:00,16,0.02199999988079071,0.0076772719621658325,0.01680685579776764,0.041688159108161926,0.0
p10,796,7834,2013-11-24T02:00:00,17,0.010999999940395355,0.007805854082107544,0.017642661929130554,0.04316689819097519,0.03500000014901161
p10,796,7834,2013-11-24T03:00:00,18,0.032999999821186066,0.008963137865066528,0.019442856311798096,0.045288555324077606,0.007000000216066837
p10,796,7834,2013-11-24T04:00:00,19,0.0,0.009863227605819702,0.021371640264987946,0.05049627274274826,0.03700000047683716
p10,796,7834,2013-11-24T05:00:00,20,0.041999999433755875,0.006520003080368042,0.025614961981773376,0.07974949479103088,0.026000000536441803
p10,796,7834,2013-11-24T06:00:00,21,0.0,-0.0018380582332611084,0.021885983645915985,0.21952202916145325,0.00800000037997961
p10,796,7834,2013-11-24T07:00:00,22,0.03400000184774399,0.02645076811313629,0.16876286268234253,0.3983202576637268,0.03400000184774399
p10,796,7834,2013-11-24T08:00:00,23,0.32600000500679016,0.09887659549713135,0.2460106611251831,0.3804468810558319,0.27900001406669617
p10,796,7834,2013-11-24T09:00:00,24,0.20600000023841858,0.04239538311958313,0.12714935839176178,0.28940826654434204,0.1340000033378601
p10,796,7834,2013-11-24T10:00:00,25,0.07000000029802322,0.027157992124557495,0.08916838467121124,0.28207892179489136,0.07100000232458115
p10,796,7834,2013-11-24T11:00:00,26,0.024000000208616257,0.02992258220911026,0.1381554752588272,0.35408681631088257,0.027000000700354576
p10,796,7834,2013-11-24T12:00:00,27,0.07500000298023224,0.050174809992313385,0.19184397161006927,0.3558870553970337,0.04600000008940697
p10,796,7834,2013-11-24T13:00:00,28,0.33500000834465027,0.07049133628606796,0.21637168526649475,0.35292956233024597,0.1469999998807907
p10,796,7834,2013-11-24T14:00:00,29,0.30000001192092896,0.08723960816860199,0.21283558011054993,0.35910165309906006,0.289000004529953
p10,796,7834,2013-11-24T15:00:00,30,0.27300000190734863,0.11404970288276672,0.20839937031269073,0.3830186128616333,0.13500000536441803
p10,796,7834,2013-11-24T16:00:00,31,0.2029999941587448,0.1514158695936203,0.26240530610084534,0.43355274200439453,0.3610000014305115
p10,796,7834,2013-11-24T17:00:00,32,0.26899999380111694,0.21540728211402893,0.33312737941741943,0.4798435568809509,0.2639999985694885
p10,796,7834,2013-11-24T18:00:00,33,0.32899999618530273,0.27063480019569397,0.38751909136772156,0.5191907286643982,0.3109999895095825
p10,796,7834,2013-11-24T19:00:00,34,0.4449999928474426,0.2617623805999756,0.37466055154800415,0.5317921042442322,0.4189999997615814
p10,796,7834,2013-11-24T20:00:00,35,0.24199999868869781,0.24356752634048462,0.3468860387802124,0.5330779552459717,0.2630000114440918
p10,796,7834,2013-11-24T21:00:00,36,0.43799999356269836,0.2503182888031006,0.38841918110847473,0.4973312020301819,0.4350000023841858
p10,796,7834,2013-11-24T22:00:00,37,0.2639999985694885,0.10321636497974396,0.26407691836357117,0.37967538833618164,0.23499999940395355
p10,796,7834,2013-11-24T23:00:00,38,0.08900000154972076,0.013656511902809143,0.031658485531806946,0.14224611222743988,0.03700000047683716
p10,796,7834,2013-11-25T00:00:00,39,0.032999999821186066,0.010120406746864319,0.02002149075269699,0.04882466048002243,0.0010000000474974513
p10,796,7834,2013-11-25T01:00:00,40,0.012000000104308128,0.00742010772228241,0.015392407774925232,0.04033801704645157,0.035999998450279236
p10,796,7834,2013-11-25T02:00:00,41,0.029999999329447746,0.00793445110321045,0.01732119917869568,0.04265255481004715,0.0
p10,796,7834,2013-11-25T03:00:00,42,0.03200000151991844,0.008705958724021912,0.01950715482234955,0.045159973204135895,0.0430000014603138
p10,796,7834,2013-11-25T04:00:00,43,0.003000000026077032,0.00973464548587799,0.021371640264987946,0.057375602424144745,0.0
p10,796,7834,2013-11-25T05:00:00,44,0.11699999868869781,0.004462629556655884,0.033072926104068756,0.13599765300750732,0.035999998450279236
p10,796,7834,2013-11-25T06:00:00,45,0.032999999821186066,0.06997699290513992,0.24620354175567627,0.3994775414466858,0.0020000000949949026
p10,796,7834,2013-11-25T07:00:00,46,0.2029999941587448,0.11019213497638702,0.2665843367576599,0.37067437171936035,0.1720000058412552
p10,796,7834,2013-11-25T08:00:00,47,0.22699999809265137,0.07704919576644897,0.18432171642780304,0.30278119444847107,0.22300000488758087
p10,796,7834,2013-11-25T09:00:00,48,0.050999999046325684,0.028572432696819305,0.0684339627623558,0.18862932920455933,0.12200000137090683
p10,796,7834,2013-11-25T10:00:00,49,0.08100000023841858,0.023686178028583527,0.05197501182556152,0.1859290450811386,0.054999999701976776
p10,796,7834,2013-11-25T11:00:00,50,0.054999999701976776,0.021628811955451965,0.10855266451835632,0.3112678527832031,0.18799999356269836
