artifact_id,model,dataset,target,lookback,horizon,split,scaler_scope,seed,checkpoint_path,sha256,metrics_path,commit,status,limitation
prod_tft_24h,Global TFT,Low Carbon London,household hourly energy kWh,336h,24h,household cold-start plus common chronological split,"research: per-household training-segment z-score; serving: rolling 336-hour z-score",2026,backend/model_artifacts/global_tft_24h/model.pt,60fedcdee375dc0b2973e55b9f4ec752da69c2a7e390e1f951ed5cbb7bc5a04d,backend/model_artifacts/global_tft_24h/manifest.json,1e67921,packaged_product_capability,Frozen London metrics do not validate the different rolling-window serving transform
prod_tft_168h,Global TFT,Low Carbon London,household hourly energy kWh,336h,168h,household cold-start plus common chronological split,"research: per-household training-segment z-score; serving: rolling 336-hour z-score",2026,backend/model_artifacts/global_tft_168h/model.pt,80af16b25af9b912019c6e40cfdc491e2cf5173e5743144596801e28df695f93,backend/model_artifacts/global_tft_168h/manifest.json,1e67921,packaged_product_capability,Frozen London metrics do not validate the different rolling-window serving transform; site quantiles are uncalibrated
lcl_nbeats_24h,Global N-BEATS,Low Carbon London,household hourly energy kWh,336h,24h,household cold-start plus chronological within-household,train-only experimental normalization,2026,models/lcl_global_forecasting/full_selected_v1/runs/global_nbeats_localized/day_24h/best.pt,,models/lcl_global_forecasting/full_selected_v1/leaderboard.csv,,candidate,Checkpoint path may not be present in the trimmed Product V1 tree
lcl_nbeats_168h,Global N-BEATS,Low Carbon London,household hourly energy kWh,336h,168h,household cold-start plus chronological within-household,train-only experimental normalization,2026,models/lcl_global_forecasting/full_selected_v1/runs/global_nbeats_localized/week_168h/best.pt,,models/lcl_global_forecasting/full_selected_v1/leaderboard.csv,,candidate,Checkpoint path may not be present in the trimmed Product V1 tree
lcl_nbeats_30d,Global N-BEATS,Low Carbon London,daily household energy kWh,,30d,household cold-start plus chronological within-household,train-only experimental normalization,2026,models/lcl_global_forecasting/full_selected_v1/runs/global_nbeats_localized/month_30d/best.pt,,models/lcl_global_forecasting/full_selected_v1/leaderboard.csv,,experimental,Negative cold-start macro R2; not exposed as a product promise
lcl_multicycle_30d,MultiCycleNet adapted,Low Carbon London,daily household energy kWh,nine historical cycles,30d,household cold-start plus chronological within-household,train-only experimental normalization,2026,models/lcl_global_forecasting/full_selected_v1/runs/multicyclenet_adapted/month_30d/best.pt,,models/lcl_global_forecasting/full_selected_v1/leaderboard.csv,,experimental,Negative cold-start macro R2 and adapted architecture provenance requires final citation check
ecl_itransformer_24,iTransformer,UCI ElectricityLoadDiagrams20112014,321-client hourly energy kWh,96h,24h,chronological 18317/2633/5261 rows,per-client train-only standardization,2026,models/ecl_deep_benchmark/runs/itransformer/h24/best.pt,,models/ecl_deep_benchmark/leaderboard.csv,,benchmark,Aggregate ECL benchmark is not the product household task
ecl_itransformer_720,iTransformer,UCI ElectricityLoadDiagrams20112014,321-client hourly energy kWh,96h,720h,chronological 18317/2633/5261 rows,per-client train-only standardization,2026,models/ecl_deep_benchmark/runs/itransformer/h720/best.pt,,models/ecl_deep_benchmark/leaderboard.csv,,benchmark,Aggregate global R2 can be dominated by high-load clients
ecl_patchtst_24,PatchTST,UCI ElectricityLoadDiagrams20112014,321-client hourly energy kWh,96h,24h,chronological 18317/2633/5261 rows,per-client train-only standardization,2026,models/ecl_deep_benchmark/runs/patchtst/h24/best.pt,,models/ecl_deep_benchmark/leaderboard.csv,,benchmark,Checkpoint may not be present in trimmed tree
ecl_xpatch_24,xPatch,UCI ElectricityLoadDiagrams20112014,321-client hourly energy kWh,96h,24h,chronological 18317/2633/5261 rows,per-client train-only standardization,2026,models/ecl_deep_benchmark/runs/xpatch/h24/best.pt,,models/ecl_deep_benchmark/leaderboard.csv,,benchmark,Checkpoint may not be present in trimmed tree
ecl_cnnbilstm_24,CNN-BiLSTM,UCI ElectricityLoadDiagrams20112014,321-client hourly energy kWh,96h,24h,chronological 18317/2633/5261 rows,per-client train-only standardization,2026,models/ecl_deep_benchmark/runs/cnn_bilstm/h24/best.pt,,models/ecl_deep_benchmark/leaderboard.csv,,benchmark,Baseline implementation rather than exact EECP-CBL reproduction
old_depm_dnn,DEPM DNN plus XGBoost,IHEPC,derived high-low consumption class,,classification,random stratified split in historical notebook,scaler and PCA fitted before split,42,legacy-pfe/models/models_depm/dnn.pth,64e51048abcf87950d413adfc442bd9c539a6307e277b82eabc1f242ec2b224e,legacy-pfe/results,,invalidated,Direct/derived target information and non-causal validation make historical scores unsuitable for forecasting claims
old_depm_resnet,DEPM Cascaded ResNet,IHEPC,derived high-low consumption class,,classification,random stratified split in historical notebook,scaler and PCA fitted before split,42,legacy-pfe/models/models_depm/resnet.pth,cedb710c518d3d8f5a78f33e07eba9324238096f286b5798469ec8baa177b56c,legacy-pfe/results,,invalidated,Direct/derived target information and non-causal validation make historical scores unsuitable for forecasting claims
old_lstm,LSTM classifier,IHEPC,derived high-low consumption class,24 samples,classification,random stratified sequence split,historical notebook preprocessing,42,legacy-pfe/models/models_lstm/lstm.pth,e80c14ed2d355b78b3de0e023cbda69abe30300e914d47209d4db3fc04dbfcb3,legacy-pfe/results_lstm,,non_comparable,Classification result uses a protocol that is not comparable with causal continuous forecasting
